 SSTREAM(uvh/supg) 	 time=        0.00000 	 dt=1 	 r=1.95334e-17 	 #it= 8 	 CPUsec=7.2529 
 SSTREAM(uvh/supg) 	 time=        0.00000 	 dt=1 	 r=1.95334e-17 	 #it= 8 	 CPUsec=6.27851 
 SSTREAM(uvh/supg) 	 time=        0.00000 	 dt=1 	 r=1.95334e-17 	 #it= 8 	 CPUsec=6.13167 
 SSTREAM(uvh/supg) 	 time=        1.00000 	 dt=1 	 r=2.24435e-17 	 #it= 8 	 CPUsec=5.97381 
 SSTREAM(uvh/supg) 	 time=        2.00000 	 dt=1 	 r=7.15599e-18 	 #it= 8 	 CPUsec=5.88844 
 SSTREAM(uvh/supg) 	 time=        3.00000 	 dt=1 	 r=3.11989e-18 	 #it= 8 	 CPUsec=5.8392 
 SSTREAM(uvh/supg) 	 time=        4.00000 	 dt=1 	 r=7.92628e-18 	 #it= 8 	 CPUsec=6.07104 
 SSTREAM(uvh/supg) 	 time=        5.00000 	 dt=1 	 r=8.83496e-18 	 #it= 8 	 CPUsec=5.71641 
 SSTREAM(uvh/supg) 	 time=        6.00000 	 dt=1 	 r=8.4382e-16 	 #it= 8 	 CPUsec=5.92055 
 SSTREAM(uvh/supg) 	 time=        7.00000 	 dt=1 	 r=7.14064e-17 	 #it= 8 	 CPUsec=5.76442 
 SSTREAM(uvh/supg) 	 time=        8.00000 	 dt=1 	 r=2.00191e-16 	 #it= 6 	 CPUsec=4.48609 
 SSTREAM(uvh/supg) 	 time=        9.00000 	 dt=1 	 r=7.56236e-17 	 #it= 8 	 CPUsec=5.86132 
 SSTREAM(uvh/supg) 	 time=       10.00000 	 dt=1 	 r=4.40865e-17 	 #it= 8 	 CPUsec=5.89241 
 SSTREAM(uvh/supg) 	 time=       11.00000 	 dt=1 	 r=8.97296e-16 	 #it= 9 	 CPUsec=6.57337 
 SSTREAM(uvh/supg) 	 time=       12.00000 	 dt=1 	 r=3.90479e-17 	 #it= 8 	 CPUsec=5.9136 
 SSTREAM(uvh/supg) 	 time=       13.00000 	 dt=1 	 r=4.99239e-16 	 #it= 6 	 CPUsec=4.53384 
 SSTREAM(uvh/supg) 	 time=       14.00000 	 dt=1 	 r=8.20198e-17 	 #it= 8 	 CPUsec=5.8264 
 SSTREAM(uvh/supg) 	 time=       15.00000 	 dt=1 	 r=6.39856e-17 	 #it= 8 	 CPUsec=5.77124 
 SSTREAM(uvh/supg) 	 time=       16.00000 	 dt=1 	 r=6.14495e-17 	 #it= 8 	 CPUsec=5.959 
 SSTREAM(uvh/supg) 	 time=       17.00000 	 dt=1 	 r=1.71036e-17 	 #it= 8 	 CPUsec=5.74864 
 SSTREAM(uvh/supg) 	 time=       18.00000 	 dt=1 	 r=3.25416e-16 	 #it= 8 	 CPUsec=5.82787 
 SSTREAM(uvh/supg) 	 time=       19.00000 	 dt=1 	 r=6.19083e-16 	 #it= 6 	 CPUsec=4.56705 
